Row Col Value
0 0 375
0 1 -375
1 0 -375
1 1 375
2 2 562.5
2 3 -375
2 5 -187.5
3 2 -375
3 3 375
4 4 375
4 5 -375
5 2 -187.5
5 4 -375
5 5 562.5
6 6 375
6 7 -375
7 6 -375
7 7 375
8 8 375
8 9 -187.5
8 11 -187.5
9 8 -187.5
9 9 187.5
10 10 375
10 11 -375
11 8 -187.5
11 10 -375
11 11 562.5
12 12 375
12 13 -375
13 12 -375
13 13 562.5
13 16 -187.5
14 14 375
14 15 -375
15 14 -375
15 15 375
16 13 -187.5
16 16 562.5
16 39 -375
17 17 375
17 18 -375
18 17 -375
18 18 375
19 19 187.5
19 20 -187.5
20 19 -187.5
20 20 187.5
21 21 375
21 22 -375
22 21 -375
22 22 375
23 23 375
23 24 -375
24 23 -375
24 24 375
25 25 375
25 26 -375
26 25 -375
26 26 375
27 27 375
27 28 -375
28 27 -375
28 28 375
29 29 375
29 30 -375
30 29 -375
30 30 375
31 31 375
31 32 -375
32 31 -375
32 32 562.5
32 35 -187.5
33 33 375
33 34 -375
34 33 -375
34 34 562.5
34 37 -187.5
35 32 -187.5
35 35 562.5
35 36 -375
36 35 -375
36 36 375
37 34 -187.5
37 37 375
37 38 -187.5
38 37 -187.5
38 38 187.5
39 16 -375
39 39 375
40 40 375
40 41 -375
41 40 -375
41 41 375
42 42 375
42 43 -375
43 42 -375
43 43 375
44 44 562.5
44 45 -375
44 47 -187.5
45 44 -375
45 45 375
46 46 125
46 47 -125
47 44 -187.5
47 46 -125
47 47 312.5
48 48 187.5
48 49 -187.5
49 48 -187.5
49 49 187.5
50 50 375
50 69 -375
51 51 375
51 52 -375
52 51 -375
52 52 375
53 53 375
53 54 -375
54 53 -375
54 54 375
55 55 375
55 56 -375
56 55 -375
56 56 375
57 57 375
57 58 -375
58 57 -375
58 58 375
59 59 468.75
59 60 -375
59 61 -93.75
60 59 -375
60 60 468.75
60 62 -93.75
61 59 -93.75
61 61 468.75
61 62 -375
62 60 -93.75
62 61 -375
62 62 468.75
63 63 375
63 64 -375
64 63 -375
64 64 375
65 65 375
65 66 -375
66 65 -375
66 66 375
67 67 468.75
67 68 -375
67 72 -93.75
68 67 -375
68 68 468.75
68 73 -93.75
69 50 -375
69 69 375
70 70 375
70 71 -375
71 70 -375
71 71 375
72 67 -93.75
72 72 562.5
72 73 -375
72 74 -93.75
73 68 -93.75
73 72 -375
73 73 562.5
73 75 -93.75
74 72 -93.75
74 74 468.75
74 75 -375
75 73 -93.75
75 74 -375
75 75 468.75
76 76 562.5
76 77 -375
76 79 -187.5
77 76 -375
77 77 375
78 78 187.5
78 79 -187.5
79 76 -187.5
79 78 -187.5
79 79 375
80 80 187.5
80 81 -187.5
81 80 -187.5
81 81 187.5
82 82 562.5
82 83 -375
82 85 -187.5
83 82 -375
83 83 375
84 84 656.25
84 85 -375
84 86 -93.75
84 89 -187.5
85 82 -187.5
85 84 -375
85 85 656.25
85 87 -93.75
86 84 -93.75
86 86 468.75
86 87 -375
87 85 -93.75
87 86 -375
87 87 468.75
88 88 562.5
88 89 -375
88 95 -187.5
89 84 -187.5
89 88 -375
89 89 562.5
90 90 375
90 91 -375
91 90 -375
91 91 375
92 92 375
92 93 -375
93 92 -375
93 93 375
94 94 187.5
94 95 -187.5
95 88 -187.5
95 94 -187.5
95 95 375
96 96 265.625
96 97 -171.875
96 98 -85.9375
96 99 -7.8125
97 96 -171.875
97 97 265.625
97 98 -54.6875
97 99 -39.0625
98 96 -85.9375
98 97 -54.6875
98 98 207.031
98 99 -66.4062
99 96 -7.8125
99 97 -39.0625
99 98 -66.4062
99 99 113.281
