Row Col Value
0 0 750
0 1 -750
1 0 -750
1 1 750
2 2 750
2 3 -750
3 2 -750
3 3 750
4 4 750
4 5 -750
5 4 -750
5 5 750
6 6 750
6 7 -750
7 6 -750
7 7 750
8 8 937.5
8 9 -750
8 10 -187.5
9 8 -750
9 9 937.5
9 11 -187.5
10 8 -187.5
10 10 937.5
10 11 -750
11 9 -187.5
11 10 -750
11 11 937.5
12 12 750
12 13 -750
13 12 -750
13 13 750
14 14 750
14 15 -750
15 14 -750
15 15 750
16 16 750
16 17 -750
17 16 -750
17 17 750
18 18 750
18 19 -750
19 18 -750
19 19 750
20 20 750
20 21 -750
21 20 -750
21 21 750
22 22 937.5
22 23 -750
22 24 -187.5
23 22 -750
23 23 937.5
23 25 -187.5
24 22 -187.5
24 24 937.5
24 25 -750
25 23 -187.5
25 24 -750
25 25 937.5
26 26 750
26 27 -750
27 26 -750
27 27 750
28 28 937.5
28 29 -750
28 30 -187.5
29 28 -750
29 29 937.5
29 31 -187.5
30 28 -187.5
30 30 937.5
30 31 -750
31 29 -187.5
31 30 -750
31 31 937.5
32 32 750
32 37 -750
33 33 750
33 34 -750
34 33 -750
34 34 750
35 35 750
35 36 -750
36 35 -750
36 36 750
37 32 -750
37 37 937.5
37 38 -187.5
38 37 -187.5
38 38 937.5
38 39 -750
39 38 -750
39 39 750
40 40 750
40 41 -750
41 40 -750
41 41 750
42 42 750
42 43 -750
43 42 -750
43 43 750
44 44 750
44 45 -750
45 44 -750
45 45 750
46 46 750
46 47 -750
47 46 -750
47 47 937.5
47 52 -187.5
48 48 750
48 49 -750
49 48 -750
49 49 750
50 50 750
50 51 -750
51 50 -750
51 51 937.5
51 52 -187.5
52 47 -187.5
52 51 -187.5
52 52 1500
52 53 -750
52 54 -187.5
52 63 -125
52 310 -62.5
53 52 -750
53 53 1125
53 54 -150
53 63 -104.167
53 303 -37.5
53 310 -83.3333
54 52 -187.5
54 53 -150
54 54 1620
54 55 -412.5
54 64 -340.909
54 301 -93.75
54 302 -18.75
54 303 -45
54 304 -150
54 311 -221.591
55 54 -412.5
55 55 1687.5
55 56 -412.5
55 65 -340.909
55 303 -150
55 305 -150
55 312 -221.591
56 55 -412.5
56 56 1657.5
56 57 -262.5
56 58 -187.5
56 66 -340.909
56 304 -150
56 305 -45
56 306 -37.5
56 313 -221.591
57 56 -262.5
57 57 1078.12
57 58 -421.875
57 59 -93.75
57 67 -125
57 305 -18.75
57 314 -156.25
58 56 -187.5
58 57 -421.875
58 58 1265.62
58 59 -93.75
58 60 -187.5
58 67 -62.5
58 305 -93.75
58 314 -218.75
59 57 -93.75
59 58 -93.75
59 59 1312.5
59 60 -750
59 61 -187.5
59 68 -62.5
59 317 -125
60 58 -187.5
60 59 -750
60 60 1312.5
60 62 -187.5
60 68 -31.25
60 317 -156.25
61 59 -187.5
61 61 1125
61 62 -750
61 69 -62.5
61 320 -125
62 60 -187.5
62 61 -750
62 62 1125
62 69 -31.25
62 320 -156.25
63 52 -125
63 53 -104.167
63 63 1909.72
63 64 -710.227
63 74 -729.167
63 301 -83.3333
63 302 -41.6667
63 310 319.444
63 311 -227.273
63 327 -208.333
64 54 -340.909
64 63 -710.227
64 64 3068.18
64 65 -784.091
64 75 -750
64 303 -221.591
64 310 -397.727
64 311 852.273
64 312 -340.909
64 328 -375
65 55 -340.909
65 64 -784.091
65 65 3069.73
65 66 -784.091
65 76 -750
65 304 -221.591
65 311 -340.909
65 312 867.769
65 313 -340.909
65 329 -375
66 56 -340.909
66 65 -784.091
66 66 2742.77
66 67 -556.818
66 77 -93.75
66 78 -264.205
66 79 -272.727
66 305 -221.591
66 312 -340.909
66 313 700.413
66 314 -397.727
66 315 -51.1364
66 316 -34.0909
66 330 -85.2273
67 57 -125
67 58 -62.5
67 66 -556.818
67 67 1781.25
67 68 -473.958
67 80 -93.75
67 81 -250
67 82 -31.25
67 313 -99.4318
67 314 93.75
67 317 -182.292
68 59 -62.5
68 60 -31.25
68 67 -473.958
68 68 1734.37
68 69 -473.958
68 83 -93.75
68 84 -250
68 85 -31.25
68 314 -182.292
68 317 46.875
68 320 -182.292
69 61 -62.5
69 62 -31.25
69 68 -473.958
69 69 1645.83
69 70 -187.5
69 71 -156.25
69 72 -93.75
69 73 -62.5
69 86 -187.5
69 87 -156.25
69 88 -31.25
69 317 -182.292
69 320 -20.8333
70 69 -187.5
70 70 1125
70 71 -750
70 89 -187.5
71 69 -156.25
71 70 -750
71 71 1125
71 90 -187.5
71 320 -31.25
72 69 -93.75
72 72 937.5
